r,n3,n4,n5,n6,n7,n8,n9,n10
0.313131313,0.63568525,0.606287411,0.593039537,0.586733144,0.583654464,0.582133186,0.581376994,0.581000001
0.323232323,0.63590655,0.606511011,0.593263573,0.586957261,0.583878591,0.582357311,0.581601116,0.581224121
0.333333333,0.636136192,0.606743026,0.593496036,0.587189804,0.584111143,0.58258986,0.581833662,0.581456665
0.343434343,0.636374315,0.606983597,0.593737063,0.587430913,0.584352259,0.582830972,0.58207477,0.581697771
0.353535354,0.636621068,0.60723287,0.593986803,0.587680733,0.584602086,0.583080795,0.582324589,0.581947587
0.363636364,0.636876605,0.607491,0.594245409,0.58793942,0.584860778,0.583339481,0.58258327,0.582206266
0.373737374,0.63714109,0.607758151,0.594513045,0.588207135,0.585128497,0.583607193,0.582850977,0.582473969
0.383838384,0.637414694,0.608034494,0.594789881,0.588484049,0.585405413,0.583884101,0.583127879,0.582750868
0.393939394,0.637697598,0.608320209,0.595076097,0.588770341,0.585691705,0.584170385,0.583414156,0.583037141
0.404040404,0.637989991,0.608615485,0.595371882,0.589066201,0.585987563,0.584466232,0.583709995,0.583332976
0.414141414,0.638292073,0.608920523,0.595677434,0.589371825,0.586293183,0.58477184,0.584015595,0.583638571
0.424242424,0.638604054,0.60923553,0.595992963,0.589687424,0.586608774,0.585087417,0.584331164,0.583954135
0.434343434,0.638926155,0.609560729,0.596318688,0.590013215,0.586934555,0.585413183,0.584656919,0.584279885
0.444444444,0.639258609,0.609896352,0.59665484,0.59034943,0.587270756,0.585749368,0.584993093,0.584616052
